Google Scholar Reference,Link,Title,In Analysis?,Category
"Kay, M. and Heer, J., 2015. Beyond weber's law: A second look at ranking visualizations of correlation. IEEE transactions on visualization and computer graphics, 22(1), pp.469-478.",https://ieeexplore.ieee.org/abstract/document/7192661,Beyond Weber's Law: A Second Look at Ranking Visualizations of Correlation,No,
"Xiong, C., Ceja, C.R., Ludwig, C.J. and Franconeri, S., 2019. Biased Average Position Estimates in Line and Bar Graphs: Underestimation, Overestimation, and Perceptual Pull. IEEE Transactions on Visualization and Computer Graphics, 26(1), pp.301-310.",https://ieeexplore.ieee.org/abstract/document/8805427,"Biased Average Position Estimates in Line and Bar Graphs: Underestimation, Overestimation, and Perceptual Pull",Yes,Experiment
"Fang, H., Walton, S., Delahaye, E., Harris, J., Storchak, D.A. and Chen, M., 2016. Categorical colormap optimization with visualization case studies. IEEE transactions on visualization and computer graphics, 23(1), pp.871-880.",https://ieeexplore.ieee.org/abstract/document/7539556,Categorical Colormap Optimization with Visualization Case Studies,Yes,Theory
"Battle, L. and Heer, J., 2019, June. Characterizing exploratory visual analysis: A literature review and evaluation of analytic provenance in tableau. In Computer Graphics Forum (Vol. 38, No. 3, pp. 145-159).",https://onlinelibrary.wiley.com/doi/abs/10.1111/cgf.13678?casa_token=_kDlfmJi0WUAAAAA:SIe2t9CQQfOLKI9Fl8cc12QGx6H0-o_azL7HJE-bGHz7CNq4sOSkR6_KR8TcUYbZzk1EnUK13g_5vq7v,Characterizing Exploratory Visual Analysis: A Literature Review and Evaluation of Analytic Provenance in Tableau,No,
"Healey, C.G., 1996, October. Choosing effective colours for data visualization. In Proceedings of Seventh Annual IEEE Visualization'96 (pp. 263-270). IEEE.",https://ieeexplore.ieee.org/abstract/document/568118/,Choosing effective colours for data visualization,Yes,Experiment
"Abbas, M.M., Aupetit, M., Sedlmair, M. and Bensmail, H., 2019, June. Clustme: A visual quality measure for ranking monochrome scatterplots based on cluster patterns. In Computer Graphics Forum (Vol. 38, No. 3, pp. 225-236).",https://onlinelibrary.wiley.com/doi/abs/10.1111/cgf.13684?casa_token=fH09zk9jBL0AAAAA:t51jqXbPZVRYFnBIa114mu9lYX7GyApCGDogznL2ngnQz9NkiRMwJTxehPQgcTmyQyFIoV-OfHFvVJ-e,ClustMe: A Visual Quality Measure for Ranking Monochrome Scatterplots based on Cluster Patterns,Yes,Hybrid
"Ware, C., 1988. Color sequences for univariate maps: Theory, experiments and principles. IEEE Computer Graphics and Applications, 8(5), pp.41-49.",https://ieeexplore.ieee.org/abstract/document/7760/,"Color sequences for univariate maps: Theory, experiments and principles",No,
"Gramazio, C.C., Laidlaw, D.H. and Schloss, K.B., 2016. Colorgorical: Creating discriminable and preferable color palettes for information visualization. IEEE transactions on visualization and computer graphics, 23(1), pp.521-530.",https://ieeexplore.ieee.org/abstract/document/7539386/,Colorgorical: Creating discriminable and preferable color palettes for information visualization,No,
"Cheng, S., Xu, W. and Mueller, K., 2018. Colormap nd: A data-driven approach and tool for mapping multivariate data to color. IEEE transactions on visualization and computer graphics, 25(2), pp.1361-1377.",https://ieeexplore.ieee.org/abstract/document/8302605/,ColorMapND: A Data-Driven Approach and Tool for Mapping Multivariate Data to Color,Yes,Hybrid
"Correll, M., Albers, D., Franconeri, S. and Gleicher, M., 2012, May. Comparing averages in time series data. In Proceedings of the SIGCHI Conference on Human Factors in Computing Systems (pp. 1095-1104).",https://dl.acm.org/doi/abs/10.1145/2207676.2208556,Comparing averages in time series data,Yes,Experiment
"Gogolou, A., Tsandilas, T., Palpanas, T. and Bezerianos, A., 2018. Comparing similarity perception in time series visualizations. IEEE transactions on visualization and computer graphics, 25(1), pp.523-533.",https://ieeexplore.ieee.org/abstract/document/8440826/,Comparing Similarity Perception in Time Series Visualizations,Yes,Experiment
"Waldner, M., Diehl, A., Gračanin, D., Splechtna, R., Delrieux, C. and Matković, K., 2019. A Comparison of Radial and Linear Charts for Visualizing Daily Patterns. IEEE transactions on visualization and computer graphics, 26(1), pp.1033-1042.",https://ieeexplore.ieee.org/abstract/document/8807238/,Comparison of Radial and Linear charts for Visualizing Daily Patterns,Yes,Experiment
"Meyer, J., Taieb, M. and Flascher, I., 1997. Correlation estimates as perceptual judgments. Journal of Experimental Psychology: Applied, 3(1), p.3.",https://psycnet.apa.org/journals/xap/3/1/3/,Correlation estimates as perceptual judgments,Yes,Experiment
"Yang, F., Harrison, L.T., Rensink, R.A., Franconeri, S.L. and Chang, R., 2018. Correlation judgment and visualization features: A comparative study. IEEE Transactions on Visualization and Computer Graphics, 25(3), pp.1474-1488.",https://ieeexplore.ieee.org/abstract/document/8305493/,Correlation Judgment and Visualization Features: A Comparative Study,Yes,Theory
"Heer, J. and Bostock, M., 2010, April. Crowdsourcing graphical perception: using mechanical turk to assess visualization design. In Proceedings of the SIGCHI conference on human factors in computing systems (pp. 203-212).",https://dl.acm.org/doi/abs/10.1145/1753326.1753357,Crowdsourcing Graphical Perception: Using Mechanical Turk to Assess Visualization Design,Yes,Experiment
"Sedlmair, M. and Aupetit, M., 2015, June. Data‐driven evaluation of visual quality measures. In Computer Graphics Forum (Vol. 34, No. 3, pp. 201-210).",https://onlinelibrary.wiley.com/doi/abs/10.1111/cgf.12632?casa_token=2YYN7lrRHA4AAAAA:_OIkruQY3ozVvMHsaUt7LP9f_zBrBbtAO8in49BMncKH4SgPS6r3PMiUnriDwgazTt4MbGzEuJt0bwnw,Data-driven Evaluation of Visual Quality Measures,Yes,Theory
"Kim, N.W., Schweickart, E., Liu, Z., Dontcheva, M., Li, W., Popovic, J. and Pfister, H., 2016. Data-driven guides: Supporting expressive design for information graphics. IEEE transactions on visualization and computer graphics, 23(1), pp.491-500.",https://ieeexplore.ieee.org/abstract/document/7536218/,Data-Driven Guides: Supporting Expressive Design for Information Graphics,No,
"Jo, J. and Seo, J., 2019, October. Disentangled Representation of Data Distributions in Scatterplots. In 2019 IEEE Visualization Conference (VIS) (pp. 136-140). IEEE.",https://ieeexplore.ieee.org/abstract/document/8933670/,Disentangled Representation of Data Distributions in Scatterplots,Yes,Theory
"Kosara, R. and Ziemkiewicz, C., 2010, April. Do Mechanical Turks dream of square pie charts?. In Proceedings of the 3rd BELIV'10 Workshop: Beyond time and errors: Novel evaluation methods for information visualization (pp. 63-70).",https://dl.acm.org/doi/abs/10.1145/2110192.2110202,Do Mechanical Turks dream of square pie charts?,No,
"Matejka, J., Anderson, F. and Fitzmaurice, G., 2015, April. Dynamic opacity optimization for scatter plots. In Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems (pp. 2707-2710).",https://dl.acm.org/doi/abs/10.1145/2702123.2702585,Dynamic Opacity Optimization for Scatter Plots,No,
"Weissenbock, J., Frohler, B., Groller, E., Kastner, J. and Heinzl, C., 2018. Dynamic volume lines: Visual comparison of 3d volumes through space-filling curves. IEEE transactions on visualization and computer graphics, 25(1), pp.1040-1049.",https://ieeexplore.ieee.org/abstract/document/8440038/,Dynamic Volume Lines: Visual Comparison of 3D Volumes through Space-filling Curves,No,
"Meyer, J. and Shinar, D., 1992. Estimating correlations from scatterplots. Human Factors, 34(3), pp.335-349.",https://journals.sagepub.com/doi/abs/10.1177/001872089203400307,Estimating Correlations from Scatterplots,Yes,Experiment
"Haehn, D., Tompkin, J. and Pfister, H., 2018. Evaluating ""Graphical Perception"" with CNNs. IEEE transactions on visualization and computer graphics, 25(1), pp.641-650.",https://ieeexplore.ieee.org/abstract/document/8440806/,"Evaluating ""Graphical Perception"" with CNNs",No,
"Nusrat, S., Alam, M.J. and Kobourov, S., 2018. Evaluating cartogram effectiveness. IEEE Transactions on Visualization and Computer Graphics, 24(2), pp.1077-1090.",https://ieeexplore.ieee.org/abstract/document/7792176/,Evaluating Cartogram Effectiveness,Yes,Experiment
"Reda, K. and Papka, M.E., 2019, October. Evaluating Gradient Perception in Color-Coded Scalar Fields. In 2019 IEEE Visualization Conference (VIS) (pp. 271-275). IEEE.",https://ieeexplore.ieee.org/abstract/document/8933760/,Evaluating Gradient Perception in Color-coded Scalar Fields,Yes,Experiment
"Saket, B., Srinivasan, A., Ragan, E.D. and Endert, A., 2017. Evaluating interactive graphical encodings for data visualization. IEEE transactions on visualization and computer graphics, 24(3), pp.1316-1330.",https://ieeexplore.ieee.org/abstract/document/7875127/,Evaluating Interactive Graphical Encodings for Data Visualization,No,
"Wei, Y., Mei, H., Zhao, Y., Zhou, S., Lin, B., Jiang, H. and Chen, W., 2019. Evaluating Perceptual Bias During Geometric Scaling of Scatterplots. IEEE transactions on visualization and computer graphics, 26(1), pp.321-331.",https://ieeexplore.ieee.org/abstract/document/8794768/,Evaluating Perceptual Bias During Geometric Scaling of Scatterplots,No,
"Raj, M., Mirzargar, M., Preston, J.S., Kirby, R.M. and Whitaker, R.T., 2015. Evaluating shape alignment via ensemble visualization. IEEE computer graphics and applications, 36(3), pp.60-71.",https://ieeexplore.ieee.org/abstract/document/7155419/,Evaluating Shape Alignment via Ensemble Visualization,No,
"Padilla, L., Quinan, P.S., Meyer, M. and Creem-Regehr, S.H., 2016. Evaluating the impact of binning 2d scalar fields. IEEE transactions on visualization and computer graphics, 23(1), pp.431-440.",https://ieeexplore.ieee.org/abstract/document/7539585/,Evaluating the Impact of Binning 2D Scalar Fields,No,
"Qu, Z. and Hullman, J., 2016, October. Evaluating visualization sets: Trade-offs between local effectiveness and global consistency. In Proceedings of the Sixth Workshop on Beyond Time and Errors on Novel Evaluation Methods for Visualization (pp. 44-52).",https://dl.acm.org/doi/abs/10.1145/2993901.2993910,Evaluating Visualization Sets: Trade-offs Between Local Effectiveness and Global Consistency,No,
"Johansson, J. and Forsell, C., 2015. Evaluation of parallel coordinates: Overview, categorization and guidelines for future research. IEEE Transactions on Visualization and Computer Graphics, 22(1), pp.579-588.",https://ieeexplore.ieee.org/abstract/document/7192677/,"Evaluation of Parallel Coordinates: Overview, Categorization and Guidelines for Future Research",No,
"Ondov, B., Jardine, N., Elmqvist, N. and Franconeri, S., 2018. Face to face: Evaluating visual comparison. IEEE transactions on visualization and computer graphics, 25(1), pp.861-871.",https://ieeexplore.ieee.org/abstract/document/8440856/,Face to Face: Evaluating Visual Comparison,No,
"Moritz, D., Wang, C., Nelson, G.L., Lin, H., Smith, A.M., Howe, B. and Heer, J., 2018. Formalizing visualization design knowledge as constraints: Actionable and extensible models in draco. IEEE transactions on visualization and computer graphics, 25(1), pp.438-448.",https://ieeexplore.ieee.org/abstract/document/8440847/,Formalizing Visualization Design Knowledge as Constraints: Actionable and Extensible Models in Draco,No,
"Talbot, J., Setlur, V. and Anand, A., 2014. Four experiments on the perception of bar charts. IEEE transactions on visualization and computer graphics, 20(12), pp.2152-2160.",https://ieeexplore.ieee.org/abstract/document/6876021/,Four Experiments on the Perception of Bar Charts,Yes,Experiment
"Szafir, D.A., Haroz, S., Gleicher, M. and Franconeri, S., 2016. Four types of ensemble coding in data visualizations. Journal of vision, 16(5), pp.11-11.",https://iovs.arvojournals.org/article.aspx?articleid=2504104,Four types of ensemble coding in data visualizations,Yes,Theory
"Yoghourdjian, V., Dwyer, T., Klein, K., Marriott, K. and Wybrow, M., 2018. Graph thumbnails: Identifying and comparing multiple graphs at a glance. IEEE Transactions on Visualization and Computer Graphics, 24(12), pp.3081-3095.",https://ieeexplore.ieee.org/abstract/document/8249874/,Graph Thumbnails: Identifying and Comparing Multiple Graphs at a Glance,No,
"Croxton, F.E. and Stein, H., 1932. Graphic comparisons by bars, squares, circles, and cubes. Journal of the American Statistical Association, 27(177), pp.54-60.",https://amstat.tandfonline.com/doi/pdf/10.1080/01621459.1932.10503227,"Graphic Comparisons by Bars, Squares, Circles, and Cubes",No,
"Reda, K., Nalawade, P. and Ansah-Koi, K., 2018, April. Graphical perception of continuous quantitative maps: the effects of spatial frequency and colormap design. In Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems (pp. 1-12).",https://dl.acm.org/doi/abs/10.1145/3173574.3173846,Graphical Perception of Continuous Quantitative Maps: the Effects of Spatial Frequency and Colormap Design,Yes,Experiment
"Javed, W., McDonnel, B. and Elmqvist, N., 2010. Graphical perception of multiple time series. IEEE transactions on visualization and computer graphics, 16(6), pp.927-934.",https://ieeexplore.ieee.org/abstract/document/5613429/,Graphical perception of multiple time series,No,
"Cleveland, W.S. and McGill, R., 1984. Graphical perception: Theory, experimentation, and application to the development of graphical methods. Journal of the American statistical association, 79(387), pp.531-554.",https://amstat.tandfonline.com/doi/abs/10.1080/01621459.1984.10478080,"Graphical Perception: Theory, Experimentation, and Application to the Development of Graphical Methods",Yes,Hybrid
"Wilkinson, L., Anand, A. and Grossman, R., 2005, October. Graph-theoretic scagnostics. In IEEE Symposium on Information Visualization, 2005. INFOVIS 2005. (pp. 157-164). IEEE.",http://papers.rgrossman.com/proc-094.pdf,Graph-Theoretic Scagnostics,Yes,Theory
"Chung, D. H., Archambault, D., Borgo, R., Edwards, D. J., Laramee, R. S., & Chen, M. (2016, June). How ordered is it? on the perceptual orderability of visual channels. In Computer Graphics Forum (Vol. 35, No. 3, pp. 131-140).",https://amstat.tandfonline.com/doi/abs/10.1080/01621459.1984.10478080,How Ordered Is It? On the Perceptual Orderability of Visual Channels,Yes,Experiment
"Huang, W. and Eades, P., 2005, January. How people read graphs. In proceedings of the 2005 Asia-Pacific symposium on Information visualisation-Volume 45 (pp. 51-58). Australian Computer Society, Inc..",https://pdfs.semanticscholar.org/0c6d/ac814a29b007131642814ccc99107db5bbbc.pdf,How People Read Graphs,No,
"Dengler, E. and Cowan, W., 1998, August. Human perception of laid-out graphs. In International Symposium on Graph Drawing (pp. 441-443). Springer, Berlin, Heidelberg.",https://link.springer.com/chapter/10.1007/3-540-37623-2_37,Human Perception of Laid-Out Graphs,No,
"Wang, Y., Wang, Z., Liu, T., Correll, M., Cheng, Z., Deussen, O. and Sedlmair, M., 2019. Improving the Robustness of Scagnostics. IEEE transactions on visualization and computer graphics, 26(1), pp.759-769.",https://ieeexplore.ieee.org/abstract/document/8807247/,Improving the Robustness of Scagnostics,Yes,Hybrid
"Romat, H., Lebout, D., Pietriga, E. and Appert, C., 2019, September. Influence of color and size of particles on their perceived speed in node-link diagrams. In IFIP Conference on Human-Computer Interaction (pp. 619-637). Springer, Cham.",https://link.springer.com/chapter/10.1007/978-3-030-29384-0_37,Influence of Color and Size of Particles on Their Perceived Speed in Node-Link Diagrams,No,
"Borgo, R., Micallef, L., Bach, B., McGee, F. and Lee, B., 2018, June. Information visualization evaluation using crowdsourcing. In Computer Graphics Forum (Vol. 37, No. 3, pp. 573-595).",https://onlinelibrary.wiley.com/doi/abs/10.1111/cgf.13444?casa_token=uoGRiCutKsIAAAAA:gx0QR3sWj9V56bkGWMO0QB0Js7SBnxnc21F4fsXMe7MlMXgF0Ea6YlkBGLwHa-ymoLgPoh3MCbwL_sJg,Information Visualization Evaluation Using Crowdsourcing,No,
"Woodburn, L., Yang, Y. and Marriott, K., 2019, October. Interactive Visualisation of Hierarchical Quantitative Data: An Evaluation. In 2019 IEEE Visualization Conference (VIS) (pp. 96-100). IEEE.",https://ieeexplore.ieee.org/abstract/document/8933545/,Interactive Visualisation of Hierarchical Quantitative Data: an Evaluation,No,
"Kong, H.K., Liu, Z. and Karahalios, K., 2017, June. Internal and external visual cue preferences for visualizations in presentations. In Computer Graphics Forum (Vol. 36, No. 3, pp. 515-525).",https://onlinelibrary.wiley.com/doi/abs/10.1111/cgf.13207?casa_token=9Iw0Fivah-MAAAAA:exdFV1Cwkj25oHTXqoVGlEeR1iOzXb92O-HklPTPBa0W2wEMJEOCxOn81Py8Yvm-icN6Y916-tl29nAm,Internal and External Visual Cue Preferences for Visualizations in Presentations,No,
"Baumer, E.P., Snyder, J. and Gay, G.K., 2018. Interpretive Impacts of Text Visualization: Mitigating Political Framing Effects. ACM Transactions on Computer-Human Interaction (TOCHI), 25(4), pp.1-26.",https://dl.acm.org/doi/abs/10.1145/3214353,Interpretive Impacts of Text Visualization: Mitigating Political Framing Effects,No,
"Haroz, S., Kosara, R. and Franconeri, S.L., 2015, April. Isotype visualization: Working memory, performance, and engagement with pictographs. In Proceedings of the 33rd annual ACM conference on human factors in computing systems (pp. 1191-1200).",https://dl.acm.org/doi/abs/10.1145/2702123.2702275,"Isotype visualization: Working memory, performance, and engagement with pictographs",Yes,Experiment
"Li, J., Martens, J.B. and Van Wijk, J.J., 2010. Judging correlation from scatterplots and parallel coordinate plots. Information Visualization, 9(1), pp.13-30.",https://journals.sagepub.com/doi/abs/10.1057/ivs.2008.13?casa_token=cc_hyJksCVoAAAAA:PBwfH_uacUV7vRlgZ85rmO60wuqGw-v1ro1XDVdmsD-80enaXvRag10_Lt-C2mcfv4PN96sEWVyFQA,Judging correlation from scatterplots and parallel coordinate plots,Yes,Experiment
"Bertini, E., Elmqvist, N. and Wischgoll, T., 2016. Judgment error in pie chart variations. In Proceedings of the Eurographics/IEEE VGTC conference on visualization: Short papers (pp. 91-95).",https://diglib.eg.org/bitstream/handle/10.2312/eurovisshort20161167/091-095.pdf?sequence=1&isAllowed=y,Judgment Error in Pie Chart Variations,No,
"Cleveland, W.S., Harris, C.S. and McGill, R., 1982. Judgments of circle sizes on statistical maps. Journal of the American Statistical Association, 77(379), pp.541-547.",https://www.tandfonline.com/doi/abs/10.1080/01621459.1982.10477844,Judgments of Circle Sizes on Statistical Maps ,No,
"Demiralp, C., Bernstein, M.S. and Heer, J., 2014. Learning perceptual kernels for visualization design. IEEE transactions on visualization and computer graphics, 20(12), pp.1933-1942.",https://ieeexplore.ieee.org/abstract/document/6875950,Learning Perceptual Kernels for Visualization Design,Yes,Experiment
"Wang, Y., Han, F., Zhu, L., Deussen, O. and Chen, B., 2017. Line graph or scatter plot? automatic selection of methods for visualizing trends in time series. IEEE transactions on visualization and computer graphics, 24(2), pp.1141-1154.",https://ieeexplore.ieee.org/abstract/document/7817898/,Line Graph or Scatter Plot? Automatic Selection of Methods for Visualizing Trends in Time Series,Yes,Hybrid
"Beecham, R., Dykes, J., Meulemans, W., Slingsby, A., Turkay, C. and Wood, J., 2016. Map lineups: effects of spatial structure on graphical inference. IEEE transactions on visualization and computer graphics, 23(1), pp.391-400.",https://ieeexplore.ieee.org/abstract/document/7539286/,Map LineUps: effects of spatial structure on graphical inference,No,
"Saket, B., Scheidegger, C., Kobourov, S.G. and Borner, K., 2015, June. Map‐based visualizations increase recall accuracy of data. In Computer Graphics Forum (Vol. 34, No. 3, pp. 441-450).",https://onlinelibrary.wiley.com/doi/abs/10.1111/cgf.12656?casa_token=zwJVTKzGhx8AAAAA:r5YDm6tYwMl_f2EWDTiJK_DkgK3zOpreoh4cZpJr1NS8xe2-Mgoc90Gm9hqWT03xwOibXzUxXO24LzOu,Map-based Visualizations Increase Recall Accuracy of Data,No,
"Schloss, K.B., Gramazio, C.C., Silverman, A.T., Parker, M.L. and Wang, A.S., 2018. Mapping color to meaning in colormap data visualizations. IEEE transactions on visualization and computer graphics, 25(1), pp.810-819.",https://ieeexplore.ieee.org/abstract/document/8454346/,Mapping Color to Meaning in Colormap Data Visualizations,Yes,Experiment
"Zhao, J., Liu, Z., Dontcheva, M., Hertzmann, A. and Wilson, A., 2015, April. Matrixwave: Visual comparison of event sequence data. In Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems (pp. 259-268).",https://dl.acm.org/doi/abs/10.1145/2702123.2702419,MatrixWave: Visual Comparison of Event Sequence Data,No,
"Nothelfer, C. and Franconeri, S., 2019. Measures of the benefit of direct encoding of data deltas for data pair relation perception. IEEE transactions on visualization and computer graphics, 26(1), pp.311-320.",https://ieeexplore.ieee.org/abstract/document/8836120/,Measures of the benefit of direct encoding of data deltas for data pair relation perception,No,
"Smart, S. and Szafir, D.A., 2019, May. Measuring the separability of shape, size, and color in scatterplots. In Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems (pp. 1-14).",https://dl.acm.org/doi/abs/10.1145/3290605.3300899,"Measuring the Separability of Shape, Size, and Color in Scatterplots",Yes,Experiment
"Szafir, D.A., 2017. Modeling color difference for visualization design. IEEE transactions on visualization and computer graphics, 24(1), pp.392-401.",https://ieeexplore.ieee.org/abstract/document/8017604/,Modeling Color Difference for Visualization Design,Yes,Experiment
"Zhao, M., Qu, H. and Sedlmair, M., 2019, May. Neighborhood Perception in Bar Charts. In Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems (pp. 1-12).",https://dl.acm.org/doi/abs/10.1145/3290605.3300462,Neighborhood Perception in Bar Charts,Yes,Experiment
"Burlinson, D., Subramanian, K. and Goolkasian, P., 2017. Open vs. Closed Shapes: New Perceptual Categories?. IEEE transactions on visualization and computer graphics, 24(1), pp.574-583.",https://ieeexplore.ieee.org/abstract/document/8019826/,Open vs Closed Shapes: New Perceptual Categories?,Yes,Experiment
